text,category,justification
1: railings being crossed by horses,Animals - Horses,Represents a specific animal action and its environment.
2: a horse running or jumping,Animals - Horses,Focuses on animal movement and typical equine behavior.
3: equestrian riders helmet,Objects - Protective Gear,Categorizes an item designed for safety and protection.
4: outdoor dog led by rope,Animals - Dogs,Illustrates a common pet interaction and setting.
5: a dog being touched,Animals - Dogs,Captures an interaction involving physical contact with an animal.
6: clothed dog,Animals - Dogs,Depicts an animal wearing an item of clothing.
7: basketball in hand,Objects - Sports Equipment,Represents a common item used in a sport.
8: a basketball player with both feet off the ground,People - Sports - Basketball,Represents a specific action and skill within a sport.
9: player with basketball in the hand,People - Sports - Basketball,"Similar to #8, focuses on a basketball player action."
10: spoon on the plate,Objects - Tableware,Shows a typical dining item and its location.
11: coffee cup with coffee,Objects - Beverages,Categorizes a drink and its container.
12: the nearest dessert to the coffee cup,Objects - Food & Beverage,Highlights the proximity of different food items.
13: the bartender who is mixing wine,People - Professions - Bartender,Represents a specific job role and activity.
14: a bartender in a suit,People - Professions - Bartender,"Similar to #13, emphasizing the profession and attire."
15: wine glass with wine,Objects - Beverages,"Represents a drink and its container, similar to #11."
16: a person in aprons,People/Activity,"Represents a common domestic activity, useful for evaluating models that understand human actions."
17: pot with food,Object,"Identifies a specific object within a domestic setting, helpful for object recognition."
18: a knife being used to cut vegetables,Activity/Object,"Combines an action (cutting) with an object (vegetables), testing for understanding of interactions."
19: striped sofa in the room,Object/Scene Setting,"Describes a furniture item and its location, indicating scene understanding."
20: a sofa with pillows on it in the room,Object/Scene Setting,"Similar to 19, but includes additional details about the object's state."
21: lights on in the room,Scene Setting,"Details the ambient lighting of the scene, crucial for visual context."
22: an indoor lying pet,Object/Activity,"Combines an object (pet) with its location and pose, testing for spatial and pose understanding."
23: a cat on the sofa,Object/Activity,"Similar to 22, focusing on a specific animal and its location."
24: one pet looking directly at the camera indoors,Object/Activity/Pose,Includes a detailed description of the pet’s pose and interaction with the viewer.
25: a bed with patterns in the room,Object/Scene Setting,Describes a specific bed and its location within the room.
26: the lamp on the table beside the bed,Object/Relationship,"Specifies an object and its relationship to another object, testing relational reasoning."
27: pillow placed at the head of the bed,Object/Relationship,"Details an object’s position relative to another, similar to 26."
28: a blackboard full of words in the classroom,Object/Scene Setting,Represents a key element of a classroom environment.
29: a blackboard or whiteboard with something pasted,Object/Scene Setting,Describes a classroom fixture and potential content.
30: child sitting at desks in the classroom,Object/Activity/Scene Setting,"Combines a subject (child), an activity (sitting), and the scene setting."
31: a person standing in front of bookshelves in the library,Library/People,"Represents a common scene within a library setting, useful for testing object detection and scene understanding."
32: the table someone is using in the library,Library/Object,"Focuses on a specific object (table) within a library, testing object localization and recognition."
33: a person who touches books in the library,People/Interaction,"Highlights human interaction with objects (books), important for assessing human-object relationships."
34: a person standing in front of the cake counter,People/Food,"Demonstrates a scene involving a person and a food-related object (cake counter), useful for testing scene context."
35: a square plate full of cakes,Food/Object,"Represents a food item (cakes) on a specific object (plate), crucial for testing object recognition and fullness."
36: a cake decorated with cream,Food/Decoration,"Shows a food item (cake) with an additional element (cream), relevant for testing visual detail and embellishments."
37: incomplete donut,Food/Object,"Represents a single food item (donut) with a partial representation, testing object segmentation."
38: donut with colored granules on the surface,Food/Decoration,"Represents a food item (donut) with surface decorations (granules), useful for testing textural details."
39: chocolate donut,Food/Object,"Represents a specific type of food item (donut) with a particular characteristic (chocolate), relevant for categorical classification."
40: hot dog with vegetables,Food/Object,"Represents a food item (hot dog) with accompanying ingredients (vegetables), useful for testing ingredient recognition."
41: hot dog with sauce on the surface,Food/Object,"Shows a food item (hot dog) with surface embellishment (sauce), relevant for testing surface properties."
41: red sausage,Food/Object,"Represents a specific type of food item (sausage) with a particular characteristic (color), useful for categorical classification."
43: flowerpot with flowers potted inside,Object/Nature,"Represents a common object (flowerpot) containing natural elements (flowers), useful for assessing environmental understanding."
44: monochrome flowerpot,Object/Color,"Represents a common object (flowerpot) with a specific color attribute (monochrome), relevant for testing visual attributes."
45: a flowerpot filled with black soil,Object/Material,"Represents a common object (flowerpot) with its constituent material (black soil), useful for assessing material recognition."
46: apple growing on trees,Plant Life,"Represents a natural, outdoor scene, common in visual datasets."
47: red complete apple,Object,"Depicts a single, identifiable object – an apple."
48: apple with a stalk,Object,"Shows a close-up of an apple, highlighting a specific part."
49: a woman brushing her teeth,Human Activity,"Represents a common human action, requiring understanding of action and interaction."
50: toothbrush held by someone,Object,"Displays a tool used for a specific action, common in object recognition."
51: toilet brush with colored bristles,Object,"Shows a specific object and its components (bristles), testing detail recognition."
52: a customer whose hair is being cut by barber,Human Activity,Illustrates a human interaction involving a service provider and a customer.
53: a barber at work,Human Activity,Represents a profession and the typical setting associated with it.
54: cloth covering the barber,Object,Presents an object used to protect or cover someone during an activity.
55: a plastic toy,Object,"Represents a manufactured object, common in toy recognition tasks."
56: a plush toy,Object,"Showcases a specific type of toy, demanding recognition of material and form."
57: a humanoid toy,Object,"Demonstrates a toy that resembles a human, testing understanding of shape and form."
58: shopping cart pushed by people in the supermarket,Human Activity & Scene,"Combines a human action with a populated scene, requiring context awareness."
59: shopping cart with people in the supermarket,Human Activity & Scene,"Similar to 58, but emphasizes the presence of multiple people within the scene."
60: shopping cart full of goods,Scene,"Represents a scene within a supermarket, focusing on the objects and arrangement within the space."
61: a child wearing a mask,Human Figure,"Represents a common object and human interaction, crucial for evaluating visual understanding of people."
62: a mask on face with half a face exposed,Object - Mask,"Focuses on a specific object and its partial visibility, testing recognition under occlusion."
63: a mask on face with only eyes exposed,Object - Mask,"Similar to 62, but emphasizes a distinct part of the mask, testing detailed object recognition."
64: refrigerator with fruit,Object - Appliance & Food,"Represents a common household appliance and associated objects, important for evaluating scene understanding."
65: a drink bottle in the refrigerator,Object - Appliance & Food,"Expands on 64 by adding a specific object within the appliance, testing spatial relationships."
66: refrigerator with more than two doors,Object - Appliance,"Highlights an attribute of the appliance, evaluating recognition of specific features."
67: a watch placed on a table or cloth,Object - Timepiece,"Focuses on a specific object and its placement, testing recognition of an item in a scene."
68: a watch with three or more watch hands can be seen,Object - Timepiece,"Adds a descriptor to the timepiece, testing recognition based on features."
